link_id,from_node_id,to_node_id,length
0,1,4153,86.99924516
1,4153,1,86.99924516
2,2,3156,98.98843843
3,3156,2,98.98843843
4,3156,3152,41.73257958
5,3152,3156,41.73257958
6,3152,3,1.378848318
7,3,3152,1.378848318
8,17,18,81.57797929
9,18,17,81.57797929
10,18,19,80.16146293
11,19,18,80.16146293
12,19,20,240.2823585
13,20,19,240.2823585
14,20,311,42.52200665
15,311,20,42.52200665
16,311,21,41.63225074
17,21,311,41.63225074
18,21,310,41.29781244
19,310,21,41.29781244
20,310,22,41.80933441
21,22,310,41.80933441
22,22,309,41.39804705
23,309,22,41.39804705
24,309,23,41.76481572
25,23,309,41.76481572
26,23,4154,7.639114018
27,4154,23,7.639114018
28,24,276,6.488351989
29,276,24,6.488351989
30,276,391,4.98590558
31,391,276,4.98590558
32,391,3258,7.569980636
33,3258,391,7.569980636
34,3258,4118,99.89257349
35,4118,3258,99.89257349
36,4118,25,84.35376919
37,25,4118,84.35376919
38,856,3438,52.04563609
39,3438,856,52.04563609
40,3438,27,59.06275481
41,27,3438,59.06275481
42,700,3359,8.567299045
43,3359,700,8.567299045
44,3359,3355,16.98329589
45,3355,3359,16.98329589
46,3355,2545,55.76646796
47,2545,3355,55.76646796
48,2545,29,8.463806439
49,29,2545,8.463806439
50,29,2544,9.79113526
51,2544,29,9.79113526
52,2544,1827,30.32014811
53,1827,2544,30.32014811
54,1827,3526,35.05323076
55,3526,1827,35.05323076
56,3526,1833,32.32475832
57,1833,3526,32.32475832
58,1833,3541,10.83782252
59,3541,1833,10.83782252
60,3541,2061,27.76120227
61,2061,3541,27.76120227
62,2061,191,10.72126579
63,191,2061,10.72126579
64,30,3912,1.094481836
65,3912,30,1.094481836
66,3912,4068,44.71310024
67,4068,3912,44.71310024
68,4068,4047,1.901999399
69,4047,4068,1.901999399
70,4047,3775,19.63034766
71,3775,4047,19.63034766
72,3775,3798,4.138491423
73,3798,3775,4.138491423
74,3798,342,6.483966194
75,342,3798,6.483966194
76,342,3702,3.313933721
77,3702,342,3.313933721
78,3702,3701,75.34019394
79,3701,3702,75.34019394
80,35,4155,104.5934955
81,4155,35,104.5934955
82,4156,1050,46.82934508
83,1050,4156,46.82934508
84,1050,1051,436.4134901
85,1051,1050,436.4134901
86,1051,36,48.94104803
87,36,1051,48.94104803
88,38,1003,39.77368484
89,1003,38,39.77368484
90,1003,39,295.6247677
91,39,1003,295.6247677
92,2864,3514,40.46224273
93,3514,2864,40.46224273
94,3514,3089,11.61514668
95,3089,3514,11.61514668
96,3089,40,38.9675073
97,40,3089,38.9675073
98,41,42,124.8944683
99,42,41,124.8944683
100,42,3576,118.2256565
101,3576,42,118.2256565
102,3576,3574,21.12705441
103,3574,3576,21.12705441
104,3574,3823,20.58220198
105,3823,3574,20.58220198
106,3823,43,3.024502004
107,43,3823,3.024502004
108,43,3461,79.26026594
109,3461,43,79.26026594
110,3461,44,79.51627732
111,44,3461,79.51627732
112,44,3463,9.129108195
113,3463,44,9.129108195
114,3463,3578,78.11482292
115,3578,3463,78.11482292
116,3578,4148,27.15437367
117,4148,3578,27.15437367
118,4148,45,46.24706329
119,45,4148,46.24706329
120,45,982,63.18988064
121,982,45,63.18988064
122,982,3961,56.82317043
123,3961,982,56.82317043
124,3961,3703,34.43076558
125,3703,3961,34.43076558
126,53,3507,48.27215615
127,3507,53,48.27215615
128,3507,4157,42.94464567
129,4157,3507,42.94464567
130,2239,4158,70.5519987
131,4158,2239,70.5519987
132,60,61,86.07452385
133,61,60,86.07452385
134,18,623,39.47494789
135,623,18,39.47494789
136,623,62,98.30415088
137,62,623,98.30415088
138,62,4159,102.2653887
139,4159,62,102.2653887
140,63,3820,54.70186198
141,3820,63,54.70186198
142,3820,64,109.6547446
143,64,3820,109.6547446
144,64,65,129.0075589
145,65,64,129.0075589
146,65,3620,82.56773431
147,3620,65,82.56773431
148,3620,66,69.91359057
149,66,3620,69.91359057
150,66,3816,70.81613158
151,3816,66,70.81613158
152,3816,3588,229.9857092
153,3588,3816,229.9857092
154,3588,67,93.23085008
155,67,3588,93.23085008
156,72,3613,50.00757522
157,3613,72,50.00757522
158,3613,880,13.11367961
159,880,3613,13.11367961
160,880,879,69.33290967
161,879,880,69.33290967
162,879,73,37.61757462
163,73,879,37.61757462
164,19,621,39.90274508
165,621,19,39.90274508
166,621,74,39.99492851
167,74,621,39.99492851
168,74,4160,160.5566458
169,4160,74,160.5566458
170,75,76,69.36880004
171,76,75,69.36880004
172,4161,1047,35.69357145
173,1047,4161,35.69357145
174,1047,36,54.07858411
175,36,1047,54.07858411
176,77,1035,39.38726534
177,1035,77,39.38726534
178,1035,78,38.17520895
179,78,1035,38.17520895
180,212,520,8.710508219
181,520,211,160.6189873
