node_id,x_coord,y_coord
0,-111.9275146,33.4245016
1,-111.9262877,33.4312176
2,-111.944268,33.4307934
3,-111.9442567,33.4295155
4,-111.9443252,33.4291446
5,-111.9442882,33.4254677
6,-111.9443033,33.4243197
7,-111.9442993,33.4231771
8,-111.9442661,33.4218936
9,-111.9442498,33.420638
10,-111.9442479,33.4203483
11,-111.944246,33.4194019
12,-111.9442453,33.4189174
13,-111.9442439,33.4177833
14,-111.944241,33.4168222
15,-111.9442403,33.4160678
16,-111.9442483,33.4146347
17,-111.9442875,33.4146337
18,-111.9443138,33.4139026
19,-111.9443094,33.4131817
20,-111.9443024,33.4110208
21,-111.9442963,33.410264
22,-111.9442959,33.4095166
23,-111.9442945,33.4087687
24,-111.9304264,33.4231268
25,-111.9290798,33.4242989
27,-111.9400719,33.424345
28,-111.9392663,33.4243488
29,-111.936666,33.4243591
30,-111.9412608,33.4219305
31,-111.9412354,33.4190569
32,-111.94123,33.4176195
33,-111.941205,33.416204
34,-111.9411894,33.4147443
35,-111.945773,33.4262792
36,-111.9360118,33.4095058
37,-111.9177482,33.4094786
38,-111.9301254,33.4104444
39,-111.926512,33.4104588
40,-111.9232523,33.4118914
41,-111.94234,33.4136148
42,-111.9424188,33.4147283
43,-111.9424528,33.4161904
44,-111.9424525,33.4176183
45,-111.9423945,33.4190482
46,-111.942372,33.4205087
47,-111.9423899,33.4219281
48,-111.943347,33.4254811
49,-111.9427719,33.4275569
50,-111.9426691,33.4277019
51,-111.942465,33.4284426
52,-111.9426248,33.4289759
53,-111.9090828,33.4190024
54,-111.9262937,33.4109526
55,-111.9262973,33.4128826
56,-111.9263035,33.4168382
57,-111.9262965,33.4191375
58,-111.9262379,33.4209763
60,-111.9108076,33.418129
61,-111.910665,33.4174037
62,-111.9457982,33.4139106
63,-111.9397324,33.4119109
64,-111.9379621,33.4119438
65,-111.9365723,33.4119575
66,-111.9349297,33.4119783
67,-111.9306853,33.4120477
68,-111.9400872,33.4295692
69,-111.9457793,33.4291351
70,-111.922468,33.4167526
71,-111.9204281,33.4128828
72,-111.9209653,33.4128775
73,-111.9209439,33.4113482
74,-111.9451702,33.4131851
75,-111.9457739,33.4281466
76,-111.9465214,33.4281482
77,-111.928383,33.4097448
78,-111.9283745,33.4090473
79,-111.9399667,33.4167979
80,-111.9373669,33.4146466
81,-111.9366104,33.4145994
82,-111.9306493,33.4147379
83,-111.9400776,33.4264624
84,-111.940778,33.4264585
86,-111.9090423,33.4273929
87,-111.9090272,33.4208582
88,-111.9090775,33.4195301
89,-111.9091033,33.4181939
90,-111.9091036,33.4174837
91,-111.9091114,33.4168439
92,-111.909117,33.4161544
93,-111.9138914,33.4169249
94,-111.9128676,33.41707
95,-111.911792,33.4170678
96,-111.9294043,33.4166443
97,-111.920587,33.4167118
98,-111.9187765,33.4166821
99,-111.9177293,33.4166715
100,-111.9124548,33.4135536
101,-111.9124548,33.4125936
102,-111.9124548,33.4116335
103,-111.9400948,33.4297326
104,-111.9400739,33.4285325
105,-111.9400679,33.4273849
106,-111.9400797,33.4254922
107,-111.9400687,33.4231956
108,-111.9400803,33.4219289
109,-111.9400253,33.4176249
110,-111.9399783,33.4162056
111,-111.9398928,33.4136273
112,-111.9398917,33.4135032
113,-111.9457704,33.4194034
114,-111.9426338,33.4136098
115,-111.9265205,33.4090545
116,-111.9219906,33.4128945
119,-111.9289415,33.4220194
120,-111.9177025,33.4220187
121,-111.9186841,33.4184064
122,-111.9301262,33.4287001
124,-111.9457575,33.4231776
125,-111.9366724,33.4254992
126,-111.9349278,33.4254396
127,-111.9301152,33.4093411
128,-111.9301168,33.4097351
129,-111.9292499,33.40974
130,-111.9123461,33.4157894
131,-111.9083414,33.4208575
132,-111.9128246,33.4194946
133,-111.9128246,33.418373
134,-111.9182827,33.4128801
135,-111.9182748,33.4112636
136,-111.9142573,33.4135608
137,-111.9142573,33.4126007
138,-111.9142573,33.4116263
139,-111.9289198,33.4202704
140,-111.9307043,33.4135726
141,-111.9457642,33.4146384
142,-111.9370709,33.4135303
143,-111.9349328,33.4135475
144,-111.9327775,33.4135705
145,-111.9194063,33.4128698
146,-111.9193991,33.4112636
147,-111.9117974,33.4183775
148,-111.9117974,33.4161499
149,-111.9203154,33.4128768
150,-111.9225915,33.4128945
151,-111.9349354,33.4130207
152,-111.9146898,33.4194459
153,-111.9146941,33.4183685
154,-111.9146968,33.4176543
155,-111.9147513,33.4161512
156,-111.9457792,33.4254752
157,-111.9457747,33.4243274
158,-111.9457689,33.4218985
159,-111.9457723,33.42064
160,-111.9457633,33.4177924
161,-111.9457671,33.4168277
162,-111.9457638,33.4160717
163,-111.9451681,33.4124668
164,-111.9452041,33.4117658
165,-111.9366651,33.4232037
166,-111.9232609,33.4128945
167,-111.917064,33.4129518
168,-111.9381178,33.419078
169,-111.9108155,33.4116335
170,-111.9177198,33.4191579
171,-111.9177365,33.4183756
172,-111.9171232,33.4136285
173,-111.9107726,33.4135536
174,-111.9381595,33.4231914
175,-111.9083283,33.4200001
176,-111.9349761,33.4232093
177,-111.9169266,33.4127154
178,-111.933278,33.4160881
179,-111.9339665,33.4183547
180,-111.9107983,33.4126007
181,-111.9138895,33.4176454
182,-111.9093042,33.4110411
183,-111.9435706,33.4219441
184,-111.9435693,33.4203957
185,-111.9435841,33.4147218
186,-111.9321918,33.4292423
187,-111.9400556,33.4312394
188,-111.9434575,33.4295241
189,-111.9433753,33.4312967
190,-111.9430761,33.429697
191,-111.9349809,33.4243346
192,-111.9337564,33.4243075
193,-111.9397133,33.4109717
194,-111.9400502,33.4110461
195,-111.9350462,33.4161097
196,-111.9316695,33.4183576
197,-111.9271917,33.4166831
198,-111.9269771,33.4189112
199,-111.9353519,33.4255151
200,-111.9327444,33.4223604
201,-111.9327326,33.4217232
202,-111.9327062,33.4160819
203,-111.932723,33.4183408
204,-111.9327235,33.4202791
205,-111.9292601,33.4249516
206,-111.9292514,33.4248073
207,-111.9301429,33.4249465
208,-111.9404627,33.431309
209,-111.9356428,33.430435
210,-111.926289,33.4298413
211,-111.9382922,33.4149218
212,-111.9395884,33.4159654
213,-111.9377458,33.416025
214,-111.9338292,33.4183283
215,-111.9337083,33.4173613
216,-111.9332559,33.4151418
217,-111.9361419,33.4175155
218,-111.9379256,33.4180781
219,-111.9370852,33.4145236
220,-111.9396432,33.4145427
221,-111.9366569,33.4211618
222,-111.9301964,33.4213078
